sponsor,total_seconds,n_appearances,n_frames,avg_area_pct,peak_area_pct,area_seconds,avg_cx,avg_cy,avg_ocr_conf,first_seen_s,last_seen_s
TOPNOTCH,23.0,9,23,0.576,6.081,13.25,0.72,0.259,0.98,18.0,171.0
BULLS,4.0,1,4,3.035,3.09,12.14,0.205,0.461,1.0,4.0,7.0
BARTERCARD,26.0,9,26,0.456,6.818,11.85,0.752,0.343,0.926,4.0,171.0
KLG,38.0,15,38,0.225,0.719,8.55,0.514,0.527,0.97,11.0,176.0
MCP,5.0,3,5,1.24,3.148,6.2,0.619,0.545,0.83,16.0,128.0
FAIRWAY,8.0,3,8,0.331,1.264,2.65,0.589,0.252,0.986,27.0,46.0
ROMANTICA,3.0,2,3,0.496,0.971,1.49,0.409,0.655,0.96,136.0,150.0
AON,4.0,4,4,0.356,0.948,1.42,0.53,0.655,0.979,11.0,162.0
ELLGREN,2.0,1,2,0.299,0.304,0.6,0.479,0.719,0.998,136.0,137.0
ATM,2.0,1,2,0.115,0.139,0.23,0.115,0.068,0.989,174.0,175.0
